instance_id,repo,outcome,started,finished,elapsed_seconds,generation_trace_seconds,generation_status,patch_chars,residual_seconds,detailed_eval_report,patch_applied,fail_to_pass_success,fail_to_pass_failure,pass_to_pass_success,pass_to_pass_failure,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,cached_tokens,model_requests,model_responses,api_errors,inflight_requests,actions,checkpoints,reasoning_responses,usage_missing,reasoning_usage_present,cached_usage_present,length_responses,api_success_seconds,api_error_seconds,error_to_retry_gap_seconds,error_RateLimitError,error_BadGatewayError,all_roles_completed,final_review_started,revision_started,implementation_patch_available,final_equals_implementation,error_Timeout
django__django-12406,django/django,unresolved,2026-09-18T21:37:22.191728+00:00,2026-09-18T22:00:30.372741+00:00,1388.181013,1211.0627942997962,completed_with_role_failures,1341,177.11821870020367,True,True,1,2,165,0,1967168,45353,2012521,19649,1747456,114,92,22,0,123,7,88,0,92,92,0,747.1511626783758,53.06772314477712,88.01645914046094,20,1,False,False,False,True,True,1
django__django-12663,django/django,resolved,2026-09-18T22:00:30.375798+00:00,2026-09-18T22:23:16.570647+00:00,1366.194849,1210.1240779543296,completed_with_role_failures,1740,156.07077104567043,True,True,1,0,135,0,2151011,58190,2209201,36083,1926400,111,97,14,0,121,5,90,0,97,97,0,812.7517338562757,37.17571680387482,56.009944514371455,12,1,False,False,False,True,True,1
django__django-12708,django/django,resolved,2026-09-18T22:23:16.573623+00:00,2026-09-18T22:45:37.006800+00:00,1340.433177,1184.8678263952024,completed,748,155.56535060479746,True,True,1,0,101,0,1439309,52368,1491677,19288,1166848,96,96,0,0,137,14,93,0,96,96,0,798.353793268092,0,0,,,True,True,True,True,True,
django__django-12754,django/django,resolved,2026-09-18T22:45:37.010653+00:00,2026-09-18T23:08:15.200131+00:00,1358.189478,1207.4761476311833,completed_with_role_failures,1271,150.71333036881674,True,True,1,0,112,0,1589903,53158,1643061,19411,1358592,119,97,22,0,127,12,88,0,97,97,0,761.895159878768,37.00542495911941,100.0148816043511,21,,False,False,True,True,True,1
django__django-13012,django/django,resolved,2026-09-18T23:08:15.203236+00:00,2026-09-18T23:28:05.333458+00:00,1190.130222,1052.0586364949122,completed,556,138.0715855050878,True,True,2,0,137,0,1106027,37088,1143115,8817,891136,109,86,23,0,114,12,81,0,86,86,0,622.9575279802084,21.630095983389765,144.01484259590507,23,,True,True,True,True,True,
django__django-13023,django/django,resolved,2026-09-18T23:28:05.336901+00:00,2026-09-18T23:47:19.456555+00:00,1154.119654,1016.9331318982877,completed,611,137.1865221017124,True,True,2,0,9,0,985316,35698,1021014,12092,793600,109,85,24,0,112,13,81,0,85,85,0,607.4184592934325,26.91835972107947,104.0153779569082,24,,True,True,True,True,True,
django__django-13112,django/django,resolved,2026-09-18T23:47:19.459524+00:00,2026-09-19T00:09:35.587617+00:00,1336.128093,1205.6248381710611,completed_with_role_failures,926,130.5032548289389,True,True,1,0,63,0,1776343,44313,1820656,17013,1532672,125,103,22,0,141,8,94,0,103,103,0,737.7618165025488,42.01614879490808,100.01405294472352,21,,False,True,True,True,True,1
django__django-13121,django/django,resolved,2026-09-19T00:09:35.590235+00:00,2026-09-19T00:31:47.719525+00:00,1332.12929,1203.0811637509614,completed_with_role_failures,538,129.04812624903866,True,True,1,0,168,0,1382457,42163,1424620,17429,1179648,130,98,32,0,134,11,89,0,98,98,0,709.0986723825336,51.01316358335316,152.02043075766414,31,1,False,False,True,True,True,
django__django-13128,django/django,resolved,2026-09-19T00:31:47.722295+00:00,2026-09-19T00:53:57.847216+00:00,1330.124921,1206.3219292638823,completed_with_role_failures,1099,123.80299173611775,True,True,7,0,134,0,1382479,38019,1420498,18178,1175808,111,87,24,0,125,7,80,0,87,87,0,708.75813010009,96.24513020878658,144.0152110522613,22,1,False,False,True,True,True,1
django__django-13158,django/django,resolved,2026-09-19T00:53:57.851219+00:00,2026-09-19T01:16:01.987819+00:00,1324.1366,1181.9259570022114,completed,734,142.21064299778868,True,True,1,0,29,0,1420130,46425,1466555,15628,1181184,101,100,1,0,136,12,93,0,100,100,0,820.7308574896306,20.130901600699872,4.000790445134044,,1,True,True,True,True,True,
django__django-13297,django/django,resolved,2026-09-19T01:16:01.995255+00:00,2026-09-19T01:38:20.173445+00:00,1338.17819,1202.0692808441818,completed_with_role_failures,2165,136.1089091558183,True,True,1,0,52,0,1874388,67395,1941783,40571,1605120,94,93,1,0,135,10,90,0,93,93,0,904.2949683475308,29.56125167803839,4.001577019225806,,1,False,False,True,True,True,
django__django-13315,django/django,resolved,2026-09-19T01:38:20.176396+00:00,2026-09-19T02:00:38.336536+00:00,1338.16014,1205.7711386852898,completed_with_role_failures,668,132.38900131471019,True,True,1,0,146,0,1712795,49022,1761817,20438,1454592,110,108,2,0,152,9,101,0,108,108,0,846.3281369335018,7.714334296062589,4.00156978610903,,1,False,True,True,True,True,1
django__django-13344,django/django,unresolved,2026-09-19T02:00:38.340161+00:00,2026-09-19T02:24:04.481514+00:00,1406.141353,1208.369697918184,completed_with_role_failures,1633,197.77165508181588,True,True,0,2,356,0,1782558,72353,1854911,49416,1530880,82,79,3,0,107,6,79,0,79,79,0,943.0458806511015,34.87592538772151,12.001948828343302,,3,False,False,False,True,True,
django__django-13449,django/django,resolved,2026-09-19T02:24:04.486608+00:00,2026-09-19T02:46:22.612251+00:00,1338.125643,1206.7753741098568,completed_with_role_failures,1798,131.3502688901433,True,True,1,0,46,0,1751067,50828,1801895,24954,1513984,96,94,2,0,124,9,89,0,94,94,0,934.2926002596505,25.253455926664174,4.000628555193543,,1,False,False,True,True,True,1
django__django-13568,django/django,resolved,2026-09-19T02:46:22.615376+00:00,2026-09-19T03:08:52.797504+00:00,1350.182128,1206.125037712045,completed_with_role_failures,736,144.0570902879549,True,True,1,0,13,0,1791255,61524,1852779,32033,1502464,103,101,2,0,141,14,94,0,101,101,0,892.858176776208,19.97581287100911,8.001343569718301,,2,False,True,True,True,True,
django__django-13590,django/django,resolved,2026-09-19T03:08:52.800570+00:00,2026-09-19T03:31:08.929148+00:00,1336.128578,1205.8501826501451,completed_with_role_failures,833,130.27839534985492,True,True,1,0,145,0,1362696,51909,1414605,22953,1110272,105,102,3,0,135,15,95,0,102,102,0,839.0849975999445,43.93665730813518,8.001239935867488,,2,False,True,True,True,True,1
django__django-13794,django/django,unresolved,2026-09-19T03:31:08.934206+00:00,2026-09-19T03:53:15.059520+00:00,1326.125314,1204.4788930001669,completed_with_role_failures,852,121.64642099983303,True,True,2,1,24,0,1142980,49247,1192227,23791,954880,88,81,7,0,111,14,81,0,81,81,0,802.0472632404417,100.20108827622607,72.00390675570816,,7,False,False,True,True,True,
django__django-13807,django/django,unresolved,2026-09-19T03:53:15.063212+00:00,2026-09-19T04:15:17.188730+00:00,1322.125518,1205.4153966959566,completed_with_role_failures,1788,116.71012130404347,True,True,0,1,38,0,1158034,46533,1204567,19221,950272,95,81,14,0,111,11,76,0,81,81,0,798.6753861517645,55.43330341717228,104.0083960769698,13,1,False,True,True,True,True,
django__django-13810,django/django,resolved,2026-09-19T04:15:17.192086+00:00,2026-09-19T04:37:25.312760+00:00,1328.120674,1208.478663243819,completed_with_role_failures,842,119.64201075618098,True,True,1,0,30,0,1615205,49019,1664224,26788,1373696,78,75,3,0,99,5,74,0,75,75,0,936.1984795271419,52.729730462189764,8.001368504483253,,2,False,False,False,True,True,1
django__django-13821,django/django,resolved,2026-09-19T04:37:25.316031+00:00,2026-09-19T04:58:19.428333+00:00,1254.112302,1132.3516446971335,completed,2562,121.76065730286655,True,True,1,0,14,0,1216826,36485,1253311,11598,970752,83,79,4,0,137,11,77,0,79,79,0,704.4162165522575,20.59764479380101,16.002623110078275,3,1,True,True,True,True,True,
django__django-13925,django/django,resolved,2026-09-19T04:58:19.433126+00:00,2026-09-19T05:20:29.592485+00:00,1330.159359,1209.0671814270318,completed_with_role_failures,598,121.09217757296824,True,True,2,0,24,0,1657268,45386,1702654,23774,1464064,99,87,12,0,95,6,81,0,87,87,0,884.6349582709372,51.722673817537725,44.00883646029979,11,,False,False,False,True,True,1
django__django-14007,django/django,resolved,2026-09-19T05:20:29.595747+00:00,2026-09-19T05:42:35.758658+00:00,1326.162911,1202.9024497349747,completed_with_role_failures,1643,123.26046126502524,True,True,1,0,12,0,1437056,43934,1480990,15703,1228032,98,94,4,0,131,10,82,0,94,94,0,914.5720545463264,20.368033362552524,16.003121034242213,2,2,False,False,True,True,True,
django__django-14011,django/django,unresolved,2026-09-19T05:42:35.763161+00:00,2026-09-19T06:04:59.912851+00:00,1344.14969,1208.7778442869894,completed_with_role_failures,3054,135.37184571301054,True,True,0,17,2,0,1693682,47587,1741269,28823,1490944,81,77,4,0,109,5,70,0,77,77,0,928.0600267387927,53.35014269175008,12.002008739858866,,3,False,False,False,True,True,1
django__django-14017,django/django,resolved,2026-09-19T06:04:59.916368+00:00,2026-09-19T06:27:16.069703+00:00,1336.153335,1209.053884665016,completed_with_role_failures,1219,127.09945033498389,True,True,2,0,147,0,1557106,51761,1608867,24927,1351424,89,86,3,0,118,4,84,0,86,86,0,892.6911877584644,57.759416121058166,8.001442595850676,,2,False,False,False,True,True,1
django__django-14034,django/django,unresolved,2026-09-19T06:27:16.073773+00:00,2026-09-19T06:49:26.225244+00:00,1330.151471,1205.453528536018,completed_with_role_failures,1105,124.69794246398192,True,True,0,1,12,0,1101850,52606,1154456,32295,881664,79,73,6,0,97,8,68,0,73,73,0,793.8792698746547,147.97466982714832,20.0031281481497,,5,False,True,True,True,False,1
django__django-14053,django/django,resolved,2026-09-19T06:49:26.228643+00:00,2026-09-19T07:11:44.379109+00:00,1338.150466,1205.4452170510776,completed_with_role_failures,1765,132.70524894892242,True,True,1,0,31,0,1749847,44425,1794272,24328,1539840,85,82,3,0,109,8,79,0,82,82,0,836.4301587133668,139.78222749568522,12.00282743666321,,3,False,False,False,True,True,
django__django-14122,django/django,resolved,2026-09-19T07:11:44.382551+00:00,2026-09-19T07:33:50.535608+00:00,1326.153057,1198.9195848801173,completed_with_role_failures,690,127.23347211988266,True,True,1,0,26,0,1687540,48018,1735558,19997,1446144,97,97,0,0,140,11,96,0,97,97,0,937.8608955633827,0,0,,,False,False,True,True,True,
django__django-14155,django/django,unresolved,2026-09-19T07:33:50.539065+00:00,2026-09-19T07:55:58.682943+00:00,1328.143878,1205.6701439018361,completed_with_role_failures,29923,122.47373409816396,True,True,0,3,89,0,1698213,49223,1747436,22714,1426432,103,102,1,0,141,9,87,0,102,102,0,906.9644919219427,0.06460864376276731,0,,,False,True,True,True,True,1
django__django-14170,django/django,unresolved,2026-09-19T07:55:58.686379+00:00,2026-09-19T08:18:04.837194+00:00,1326.150815,1205.4158567460254,completed_with_role_failures,686,120.73495825397458,True,True,2,0,67,9,1662996,49073,1712069,23041,1409280,101,99,2,0,117,8,94,0,99,99,0,923.671094996389,25.292208386119455,4.00064034294337,,1,False,True,True,True,True,1
django__django-14351,django/django,resolved,2026-09-19T08:18:04.841593+00:00,2026-09-19T08:40:08.989562+00:00,1324.147969,1204.2066667270847,completed_with_role_failures,457,119.94130227291544,True,True,1,0,58,0,2002672,40950,2043622,20286,1772800,91,89,2,0,127,7,84,0,89,89,0,939.8559256396256,26.65148743847385,8.001386934891343,,2,False,False,False,True,True,
django__django-14434,django/django,resolved,2026-09-19T08:40:08.992993+00:00,2026-09-19T09:02:31.149953+00:00,1342.15696,1205.612611162942,completed_with_role_failures,674,136.54434883705812,True,True,1,0,133,0,1487335,41500,1528835,15228,1247744,101,99,2,0,128,12,92,0,99,99,0,925.6928305332549,16.32893149415031,4.000737621914595,,1,False,True,True,True,True,1
django__django-14500,django/django,resolved,2026-09-19T09:02:31.153387+00:00,2026-09-19T09:24:55.295330+00:00,1344.141943,1208.7273617470637,completed_with_role_failures,591,135.4145812529364,True,True,1,0,21,0,1682178,46586,1728764,23646,1454080,91,89,2,0,102,6,86,0,89,89,0,902.0210180226713,77.37878081202507,4.0006332360208035,,1,False,False,False,True,True,1
django__django-14539,django/django,resolved,2026-09-19T09:24:55.298627+00:00,2026-09-19T09:47:09.494693+00:00,1334.196066,1205.5227974732406,completed_with_role_failures,805,128.67326852675933,True,True,2,0,14,0,1500769,62633,1563402,29431,1265408,84,83,1,0,103,11,77,0,83,83,0,881.8392991363071,55.24890574533492,4.000785749871284,,1,False,True,True,True,True,
django__django-14725,django/django,resolved,2026-09-19T09:47:09.498302+00:00,2026-09-19T10:09:33.658671+00:00,1344.160369,1200.7042814390734,completed_with_role_failures,5374,143.45608756092656,True,True,3,0,64,0,1702285,64033,1766318,32322,1438976,88,87,1,0,130,9,85,0,87,87,0,894.8431999827735,20.229175163898617,4.000643488951027,,1,False,False,True,True,False,
django__django-14771,django/django,resolved,2026-09-19T10:09:33.662475+00:00,2026-09-19T10:29:01.808837+00:00,1168.146362,1034.2693900889717,completed,705,133.87697191102825,True,True,1,0,60,0,1436269,50095,1486364,19685,1176576,88,87,1,0,107,15,81,0,87,87,0,774.606954192277,9.731540051754564,4.000708907376975,,1,True,True,True,True,True,
matplotlib__matplotlib-21568,matplotlib/matplotlib,unresolved,2026-09-18T12:16:59.147725+00:00,2026-09-18T12:42:19.452325+00:00,1520.3046,1238.646422835067,completed_with_role_failures,699,281.658177164933,True,True,2,2,73,0,883760,30912,914672,21072,757248,95,52,43,0,67,4,48,0,52,52,0,630.3543946901336,149.30383485276252,228.03975640097633,43,,False,False,False,True,True,
matplotlib__matplotlib-22719,matplotlib/matplotlib,resolved,2026-09-18T12:42:19.453365+00:00,2026-09-18T13:06:59.724507+00:00,1480.271142,1212.0973452520557,completed_with_role_failures,929,268.1737967479444,True,True,1,0,68,0,902841,29016,931857,10843,763904,98,58,40,0,61,4,52,0,58,58,0,666.9908457668498,129.21732644876465,208.03582493588328,40,,False,False,False,True,True,
matplotlib__matplotlib-22865,matplotlib/matplotlib,resolved,2026-09-18T13:06:59.725901+00:00,2026-09-18T13:32:02.132736+00:00,1502.406835,1208.194148432929,completed_with_role_failures,738,294.21268656707093,True,True,3,0,57,0,835652,34665,870317,13113,673536,86,71,14,1,87,5,68,0,71,71,0,672.4871802674606,103.90422115800902,76.01679547736421,13,1,False,False,True,True,True,
matplotlib__matplotlib-22871,matplotlib/matplotlib,resolved,2026-09-18T13:32:02.133961+00:00,2026-09-18T13:57:34.522404+00:00,1532.388443,1207.0137867559679,completed_with_role_failures,1043,325.37465624403217,True,True,1,0,88,0,820468,38494,858962,21448,620544,89,65,23,1,75,9,60,0,65,65,0,696.8116050590761,70.29461531015113,100.01780253648758,23,,False,True,True,True,False,
matplotlib__matplotlib-23299,matplotlib/matplotlib,unresolved,2026-09-18T13:57:34.523597+00:00,2026-09-18T14:20:56.863841+00:00,1402.340244,1202.2088098358363,completed_with_role_failures,555,200.1314341641637,True,True,0,1,192,0,948098,35736,983834,17489,774656,80,71,9,0,97,9,68,0,71,71,0,737.1974867046811,21.012113956734538,40.009197496809065,9,,False,False,True,True,True,
matplotlib__matplotlib-23314,matplotlib/matplotlib,resolved,2026-09-18T14:20:56.865821+00:00,2026-09-18T14:46:33.054867+00:00,1536.189046,1206.3694506520405,completed_with_role_failures,432,329.8195953479594,True,True,1,0,862,0,477388,24244,501632,7744,346624,76,61,15,0,81,9,58,0,61,61,0,581.0320759480819,111.87067295843735,64.01247078645974,14,1,False,True,True,True,True,
matplotlib__matplotlib-23412,matplotlib/matplotlib,resolved,2026-09-18T14:46:33.057052+00:00,2026-09-18T15:09:19.209097+00:00,1366.152045,1205.683203629218,completed_with_role_failures,739,160.468841370782,True,True,1,0,46,0,1068699,32202,1100901,10059,869888,96,85,11,0,118,10,83,0,85,85,0,761.904690482188,47.76260972954333,56.0082323262468,10,,False,True,True,True,True,1
matplotlib__matplotlib-23476,matplotlib/matplotlib,unresolved,2026-09-18T15:09:19.212117+00:00,2026-09-18T15:33:07.388724+00:00,1428.176607,1207.377136151772,completed_with_role_failures,632,220.7994708482281,True,True,0,1,104,0,1019351,37867,1057218,15902,828928,79,70,8,1,103,9,69,0,70,70,0,840.1147095933557,22.821943428367376,48.00684403022751,8,,False,False,True,True,True,
matplotlib__matplotlib-24026,matplotlib/matplotlib,resolved,2026-09-18T15:33:07.390270+00:00,2026-09-18T15:58:03.582179+00:00,1496.191909,1205.8747822241858,completed_with_role_failures,1655,290.31712677581413,True,True,2,0,764,0,1004630,31930,1036560,9157,805376,90,76,14,0,99,10,72,0,76,76,0,737.074152439367,42.40572020318359,56.009433856233954,13,,False,True,True,True,True,1
matplotlib__matplotlib-24149,matplotlib/matplotlib,resolved,2026-09-18T15:58:03.584559+00:00,2026-09-18T16:23:19.837821+00:00,1516.253262,1210.6145277740434,completed_with_role_failures,725,305.63873422595657,True,True,1,0,767,0,1018854,39772,1058626,18883,829696,83,76,7,0,93,7,73,0,76,76,0,760.9049428016879,53.82201499165967,28.004578294232488,6,1,False,False,True,True,True,
matplotlib__matplotlib-24570,matplotlib/matplotlib,unresolved,2026-09-18T16:23:19.840674+00:00,2026-09-18T16:46:28.027537+00:00,1388.186863,1207.259347858373,completed_with_role_failures,1200,180.92751514162683,True,True,0,2,267,0,1070486,48496,1118982,20479,857600,81,68,13,0,88,10,62,0,68,68,0,813.7474969280884,45.064059767872095,64.00779749918729,12,,False,False,True,True,True,1
matplotlib__matplotlib-24627,matplotlib/matplotlib,resolved,2026-09-18T16:46:28.030258+00:00,2026-09-18T17:11:10.214525+00:00,1482.184267,1209.178845998831,completed_with_role_failures,1396,273.005421001169,True,True,1,0,776,0,963741,32908,996649,15546,815104,92,72,20,0,88,3,64,0,72,72,0,734.09140981175,90.6786129232496,88.01437725313008,19,1,False,False,False,True,True,
matplotlib__matplotlib-24637,matplotlib/matplotlib,resolved,2026-09-18T17:11:10.216829+00:00,2026-09-18T17:33:44.356401+00:00,1354.139572,1201.380697679706,completed_with_role_failures,844,152.75887432029413,True,True,1,0,29,0,1105795,36797,1142592,11409,925184,113,88,25,0,111,11,83,0,88,88,0,745.7334137270227,77.1088352240622,104.01631440967321,25,,False,False,True,True,True,
matplotlib__matplotlib-24870,matplotlib/matplotlib,unresolved,2026-09-18T17:33:44.359709+00:00,2026-09-18T17:56:14.501846+00:00,1350.142137,1202.0808606962673,completed_with_role_failures,1315,148.0612763037327,True,True,0,1,65,0,1242789,48205,1290994,19644,1028864,104,81,23,0,108,13,74,0,81,81,0,740.1364285610616,56.73726453073323,96.02102375775576,23,,False,False,True,True,True,
