instance_id,repo,outcome,phase,exit_status,verdict,phase_started,observed_phase_seconds,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,cached_tokens,model_requests,model_responses,api_errors,inflight_requests,actions,checkpoints,reasoning_responses,usage_missing,reasoning_usage_present,cached_usage_present,length_responses,api_success_seconds,api_error_seconds,error_to_retry_gap_seconds,error_RateLimitError,worker_finished_seconds,error_BadGatewayError,error_Timeout
django__django-11138,django/django,resolved,analysis,Submitted,,True,389.9620274133049,182234,6366,188600,1783,141824,30,18,12,0,31,3,17,0,18,18,0,154.4237643047236,88.927410537377,56.018097025342286,11,380.18712920090184,1,
django__django-11138,django/django,resolved,implementation,Submitted,,True,645.199467248749,955985,25458,981443,14346,852480,42,36,6,0,56,3,34,0,36,36,0,448.4372033155523,43.28913502488285,24.004968943074346,5,634.696317716036,1,
django__django-11138,django/django,resolved,review,PhaseTimeout,unverified,True,119.03629687009379,96056,3588,99644,925,63232,10,9,0,1,14,1,9,0,9,9,0,64.68674715934321,0,0,,,,
django__django-11138,django/django,resolved,revision,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11138,django/django,resolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11141,django/django,unresolved,analysis,Submitted,,True,281.3671007989906,176555,6765,183320,2599,139776,24,19,5,0,36,2,19,0,19,19,0,158.66581661254168,17.26646112278104,24.008915989659727,5,274.1280676489696,,
django__django-11141,django/django,unresolved,implementation,Submitted,,True,421.59753180807456,402164,16020,418184,7456,337920,27,25,2,0,33,3,24,0,25,25,0,319.9060807712376,4.739415095187724,8.001583368051797,2,413.949925347697,,
django__django-11141,django/django,unresolved,review,Submitted,request_changes,True,345.45611370401457,303331,10906,314237,5197,247296,28,22,6,0,31,2,22,0,22,22,0,226.78015641821548,21.34145581861958,28.004876306280494,6,337.9724001539871,,
django__django-11141,django/django,unresolved,revision,PhaseTimeout,,True,110.17657769098878,69624,3592,73216,1911,38656,6,5,1,0,10,1,5,0,5,5,0,70.45384508557618,1.42394946096465,0,,,,1
django__django-11141,django/django,unresolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11149,django/django,resolved,analysis,Submitted,,True,514.6884775538929,516951,12823,529774,3029,437504,38,30,8,0,41,4,30,0,30,30,0,324.65955820446834,28.077873358502984,36.007748362608254,8,505.7045672191307,,
django__django-11149,django/django,resolved,implementation,Submitted,,True,450.9441425842233,613922,23613,637535,17035,525824,22,22,0,0,29,2,19,0,22,22,0,372.0236174627207,0,0,,442.5226842290722,,
django__django-11149,django/django,resolved,review,PhaseTimeout,unverified,True,193.69172954792157,146890,6487,153377,2211,108288,17,14,2,1,22,1,13,0,14,14,0,116.1045446540229,11.43374074716121,8.004619812592864,2,,,
django__django-11149,django/django,resolved,revision,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11149,django/django,resolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11206,django/django,resolved,analysis,Submitted,,True,229.5464503359981,112527,10423,122950,3903,72960,18,12,6,0,17,3,11,0,12,12,0,149.63951511634514,17.82144365273416,28.004458538722247,6,223.8936708639376,,
django__django-11206,django/django,resolved,implementation,Submitted,,True,423.23976392671466,411872,22268,434140,15765,338432,20,19,1,0,19,2,19,0,19,19,0,376.83028077241033,1.747146069072187,4.000647955108434,1,417.1163550862111,,
django__django-11206,django/django,resolved,review,Submitted,unverified,True,284.3315013437532,212391,16178,228569,8158,154368,15,13,2,0,18,4,12,0,13,13,0,195.1347716297023,37.28088600002229,8.001401606947184,2,277.26086353184655,,
django__django-11206,django/django,resolved,revision,PhaseTimeout,,True,229.5326244449243,102794,3195,105989,1051,65792,7,6,1,0,10,1,6,0,6,6,0,150.11286120768636,51.279158564750105,0,,,,1
django__django-11206,django/django,resolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11239,django/django,resolved,analysis,Submitted,,True,232.86270674411207,147325,6522,153847,1637,110592,19,18,1,0,23,0,18,0,18,18,0,180.3654121630825,5.443218799307942,4.001862302888185,1,226.72598907211795,,
django__django-11239,django/django,resolved,implementation,Submitted,,True,265.99518618686125,136109,4575,140684,802,102144,26,15,11,0,21,2,14,0,15,15,0,123.76608335739002,50.038243137300014,52.00676542846486,11,259.72127983300015,,
django__django-11239,django/django,resolved,review,Submitted,unverified,True,215.22533421684057,135658,8887,144545,4432,94976,15,13,2,0,20,1,13,0,13,13,0,157.11366718960926,9.938839160371572,8.001130686607212,2,208.54015206499025,,
django__django-11239,django/django,resolved,revision,Submitted,,True,141.29116374114528,169766,4609,174375,1020,129280,11,11,0,0,14,2,11,0,11,11,0,114.93575479835272,0,0,,135.1352912778966,,
django__django-11239,django/django,resolved,final_review,Submitted,unverified,True,205.6983419591561,220959,11765,232724,4936,166656,13,11,2,0,14,4,11,0,11,11,0,163.45933339279145,3.6605130918323994,8.00134703796357,2,199.6294951280579,,
django__django-11265,django/django,unresolved,analysis,Submitted,,True,277.7438359390944,237466,6036,243502,2709,191232,22,22,0,0,27,2,20,0,22,22,0,223.93496225960553,0,0,,270.86496576527134,,
django__django-11265,django/django,unresolved,implementation,Submitted,,True,472.8528583319858,522411,11413,533824,2734,455680,34,31,3,0,41,2,28,0,31,31,0,378.19354157708585,6.596937646623701,12.002066393382847,3,466.44323114166036,,
django__django-11265,django/django,unresolved,review,Submitted,request_changes,True,391.1014682366513,474344,21984,496328,13048,395776,24,24,0,0,31,2,24,0,24,24,0,331.79605681216344,0,0,,384.76695545203984,,
django__django-11265,django/django,unresolved,revision,PhaseTimeout,,True,25.178182682022452,17144,171,17315,101,0,2,1,1,0,1,0,1,0,1,1,0,7.624737611040473,6.139191424008459,0,,,,1
django__django-11265,django/django,unresolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11292,django/django,resolved,analysis,Submitted,,True,294.4171648561023,304278,9822,314100,3349,247296,20,20,0,0,32,2,20,0,20,20,0,221.07941402634606,0,0,,286.8553660120815,,
django__django-11292,django/django,resolved,implementation,Submitted,,True,452.54217266570777,470173,12046,482219,5120,408832,29,27,2,0,37,2,27,0,27,27,0,350.2587726665661,16.88198353117332,8.001708280760795,2,445.24064215505496,,
django__django-11292,django/django,resolved,review,Submitted,unverified,True,349.1532138432376,434842,13506,448348,5339,370432,29,27,2,0,31,4,27,0,27,27,0,263.8221715404652,9.351187222637236,8.00137230521068,2,342.63439394626766,,
django__django-11292,django/django,resolved,revision,PhaseTimeout,,True,67.66337962215766,62780,2228,65008,800,36352,6,5,0,1,7,1,5,0,5,5,0,33.94575715670362,0,0,,,,
django__django-11292,django/django,resolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11400,django/django,unresolved,analysis,Submitted,,True,589.062768812757,334460,10492,344952,2057,274432,32,25,7,0,38,3,25,0,25,25,0,339.5029117446393,138.9897161461413,28.00481247762218,6,581.4081679196097,1,
django__django-11400,django/django,unresolved,implementation,Submitted,,True,386.68521712813526,452472,19167,471639,11747,386560,22,22,0,0,27,3,21,0,22,22,0,305.20977903017774,0,0,,377.8386122789234,,
django__django-11400,django/django,unresolved,review,ReadOnlyViolation,unverified,True,188.86455938685685,166031,7078,173109,4176,126720,16,15,0,1,25,1,14,0,15,15,0,132.9377470742911,0,0,,,,
django__django-11400,django/django,unresolved,revision,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11400,django/django,unresolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11477,django/django,unresolved,analysis,LimitsExceeded,,True,376.26759916590527,345446,11187,356633,5233,292096,34,30,4,0,30,2,26,0,30,30,0,266.4556042919867,18.105519781820476,20.00385927129537,4,367.61594213405624,,
django__django-11477,django/django,unresolved,implementation,Submitted,,True,380.0989192747511,306358,7546,313904,2663,260608,30,25,5,0,30,2,23,0,25,25,0,257.4155986336991,39.06398692307994,24.00415642838925,4,372.1098293042742,1,
django__django-11477,django/django,unresolved,review,Submitted,unverified,True,213.79440815700218,149652,7718,157370,3836,114176,17,15,2,0,23,2,15,0,15,15,0,150.8122009653598,7.387380391359329,8.001757450867444,2,206.67419299529865,,
django__django-11477,django/django,unresolved,revision,PhaseTimeout,,True,190.95106055261567,194779,7080,201859,1980,151040,15,14,1,0,18,1,14,0,14,14,0,134.11444652825594,13.912783019710332,0,,,,1
django__django-11477,django/django,unresolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11490,django/django,resolved,analysis,Submitted,,True,272.5783724160865,197068,7546,204614,2956,155904,25,19,6,0,28,3,17,0,19,19,0,163.0850743171759,24.36256047198549,28.003982259426266,6,265.16155608417466,,
django__django-11490,django/django,resolved,implementation,Submitted,,True,405.00315671693534,402693,14893,417586,9260,342016,23,22,1,0,36,2,20,0,22,22,0,309.6644511176273,8.671562469098717,4.000654011964798,1,397.1812692862004,,
django__django-11490,django/django,resolved,review,Submitted,unverified,True,428.9250285080634,502371,13741,516112,5975,439040,41,33,8,0,44,3,30,0,33,33,0,289.3878515274264,24.781834919471294,32.006019754800946,7,422.60265220841393,1,
django__django-11490,django/django,resolved,revision,PhaseTimeout,,True,59.26592519786209,36641,2252,38893,787,10752,5,3,2,0,5,1,3,0,3,3,0,31.76351961772889,2.7126930048689246,4.000634789932519,2,,,
django__django-11490,django/django,resolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11532,django/django,unresolved,analysis,Submitted,,True,334.2776208277792,269002,16434,285436,10673,211456,28,19,9,0,28,2,18,0,19,19,0,205.36600128840655,9.901012735441327,56.008505668491125,9,327.356374587398,,
django__django-11532,django/django,unresolved,implementation,Submitted,,True,292.2332024606876,312721,19764,332485,13862,254976,16,16,0,0,19,2,15,0,16,16,0,248.96921931952238,0,0,,285.70449150167406,,
django__django-11532,django/django,unresolved,review,Submitted,unverified,True,243.5293982862495,195959,8999,204958,4064,157440,18,17,1,0,31,2,17,0,17,17,0,177.5148198781535,3.6406654957681894,4.000630674883723,1,236.96278504887596,,
django__django-11532,django/django,unresolved,revision,Submitted,,True,169.00068522477522,187784,4978,192762,1245,150016,16,11,5,0,16,2,11,0,11,11,0,99.7344356556423,8.70158607000485,24.003230329602957,5,161.9667417081073,,
django__django-11532,django/django,unresolved,final_review,PhaseTimeout,unverified,True,112.10463460581377,142649,4174,146823,810,101120,9,8,1,0,10,2,8,0,8,8,0,77.83580390876159,2.7739400332793593,4.000659042969346,1,102.98348881723359,,
django__django-11555,django/django,resolved,analysis,Submitted,,True,266.48330048378557,211157,7996,219153,3037,164096,24,19,5,0,32,3,18,0,19,19,0,161.47079755738378,11.681854359805584,36.003879537340254,5,260.0660263970494,,
django__django-11555,django/django,resolved,implementation,Submitted,,True,495.3410431826487,679892,21547,701439,14764,594176,40,33,7,0,47,2,30,0,33,33,0,351.44568754406646,20.587614139541984,28.004695687443018,7,489.04532650625333,,
django__django-11555,django/django,resolved,review,Submitted,unverified,True,242.13636903371662,283002,8124,291126,2658,238080,24,23,1,0,31,2,22,0,23,23,0,172.43271895824,2.4346148259937763,4.000695160124451,1,235.78836602019146,,
django__django-11555,django/django,resolved,revision,PhaseTimeout,,True,163.0518246279098,139160,4805,143965,2197,109312,15,11,4,0,15,1,11,0,11,11,0,89.4635339109227,23.540618389379233,12.00178952794522,3,,,1
django__django-11555,django/django,resolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11734,django/django,resolved,analysis,Submitted,,True,438.8990384787321,437904,12399,450303,3792,375040,45,29,16,0,40,3,29,0,29,29,0,240.99896105285734,34.847070814576,88.01042518857867,16,432.1782446228899,,
django__django-11734,django/django,resolved,implementation,Submitted,,True,637.6230173720978,1347873,34544,1382417,25707,1219328,40,40,0,0,58,3,38,0,40,40,0,522.5652863131836,0,0,,630.6843136013485,,
django__django-11734,django/django,resolved,review,PhaseTimeout,unverified,True,91.66448881989345,39798,2317,42115,296,24064,11,7,4,0,9,1,7,0,7,7,0,46.308993748854846,7.568662594538182,12.002008044160903,3,,,1
django__django-11734,django/django,resolved,revision,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11734,django/django,resolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11820,django/django,unresolved,analysis,Submitted,,True,202.59042481007054,110558,5480,116038,1738,84224,22,17,5,0,24,2,17,0,17,17,0,100.13502498297021,13.593721269629896,36.0031572394073,5,196.6657531959936,,
django__django-11820,django/django,unresolved,implementation,Submitted,,True,526.0721788108349,651567,26741,678308,20623,566272,52,31,21,0,34,3,29,0,31,31,0,328.994806855917,47.480403314344585,88.01449024770409,21,519.5379639980383,,
django__django-11820,django/django,unresolved,review,Submitted,unverified,True,258.55356262112036,191878,11984,203862,4962,152832,23,18,5,0,21,2,17,0,18,18,0,182.79465341661125,10.610086182132363,20.00379255693406,5,252.14312378503382,,
django__django-11820,django/django,unresolved,revision,Submitted,,True,128.69040927803144,153269,5545,158814,2352,116480,11,11,0,0,16,2,10,0,11,11,0,90.94489623652771,0,0,,121.92403676686808,,
django__django-11820,django/django,unresolved,final_review,PhaseTimeout,unverified,True,40.07064294675365,11720,250,11970,139,512,5,1,4,0,2,0,1,0,1,1,0,7.581135136075318,7.367011216469109,12.00215220451355,3,,,1
django__django-11848,django/django,resolved,analysis,Submitted,,True,212.59603443322703,112226,10059,122285,6982,79104,21,13,8,0,19,2,13,0,13,13,0,117.00704525550827,8.82866985257715,48.00525008048862,8,206.83837693091482,,
django__django-11848,django/django,resolved,implementation,Submitted,,True,402.7484778347425,318355,12378,330733,5282,256256,41,19,22,0,27,2,19,0,19,19,0,165.60701153194532,33.076862341258675,152.01377382455394,22,396.2407493540086,,
django__django-11848,django/django,resolved,review,Submitted,unverified,True,251.17333378409967,193150,13809,206959,7098,152320,23,14,9,0,20,2,14,0,14,14,0,159.92059609713033,9.79860611911863,40.00582602666691,9,244.11536996485665,,
django__django-11848,django/django,resolved,revision,Submitted,,True,152.29301856504753,238610,6766,245376,3223,187392,14,13,1,0,19,3,12,0,13,13,0,104.1040485817939,1.3151131351478398,4.00175641104579,1,145.43682784214616,,
django__django-11848,django/django,resolved,final_review,PhaseTimeout,unverified,True,122.25191986607388,160287,4098,164385,1192,116224,14,9,5,0,13,1,9,0,9,9,0,62.178615275304765,8.013494122773409,20.002827412448823,4,,,1
django__django-11885,django/django,resolved,analysis,Submitted,,True,281.27621989836916,248693,7440,256133,2325,201216,30,19,11,0,37,2,18,0,19,19,0,139.68689542915672,16.792651319410652,52.00793512770906,11,275.2093432992697,,
django__django-11885,django/django,resolved,implementation,Submitted,,True,737.5032332446426,1345004,45120,1390124,36654,1185024,50,34,16,0,46,2,34,0,34,34,0,497.0898768529296,25.085160586982965,112.01065983856097,16,730.3116881237365,,
django__django-11885,django/django,resolved,review,PhaseTimeout,unverified,True,150.1939608468674,85748,2064,87812,572,51712,18,9,9,0,14,1,9,0,9,9,0,49.94557945849374,21.29455353645608,48.005408867727965,8,,,1
django__django-11885,django/django,resolved,revision,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11885,django/django,resolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11964,django/django,resolved,analysis,Submitted,,True,292.6195442760363,263592,7606,271198,3199,217600,32,22,10,0,27,2,20,0,22,22,0,167.4591546836309,11.452281791716814,56.00818032026291,10,286.3487769411877,,
django__django-11964,django/django,resolved,implementation,Submitted,,True,257.2886380101554,201890,5365,207255,1276,164864,33,18,15,0,23,2,18,0,18,18,0,113.66808571713045,18.846128083299845,72.0156470509246,15,250.425976511091,,
django__django-11964,django/django,resolved,review,Submitted,unverified,True,328.5742024886422,249368,9882,259250,4110,205568,39,19,20,0,23,2,19,0,19,19,0,148.49757516616955,35.85151063231751,88.01356192864478,20,320.1681264308281,,
django__django-11964,django/django,resolved,revision,Submitted,,True,234.35635726479813,257125,8888,266013,2128,207360,24,15,9,0,18,2,12,0,15,15,0,142.82888487074524,10.459252448752522,40.007498738355935,9,227.39978673309088,,
django__django-11964,django/django,resolved,final_review,PhaseTimeout,unverified,True,23.194574641995132,13382,152,13534,67,512,2,1,1,0,2,0,1,0,1,1,0,5.9859405546449125,2.075865896884352,0,,,,1
django__django-12039,django/django,resolved,analysis,Submitted,,True,223.60783389722928,217755,6810,224565,2734,174848,23,19,4,0,30,2,15,0,19,19,0,135.84996017441154,9.97536942595616,20.002605874091387,4,217.19925811281428,,
django__django-12039,django/django,resolved,implementation,Submitted,,True,391.6889229961671,549796,16760,566556,9854,484608,42,28,14,0,34,2,27,0,28,28,0,225.7513615367934,27.343860175460577,64.0093185021542,14,384.1271747490391,,
django__django-12039,django/django,resolved,review,Submitted,unverified,True,252.2622548858635,224674,8809,233483,3635,177664,26,18,8,0,22,2,17,0,18,18,0,141.72759322682396,20.805917899589986,40.00557696959004,8,245.32499035680667,,
django__django-12039,django/django,resolved,revision,Submitted,,True,161.01766164088622,177016,7228,184244,2248,131072,18,11,7,0,14,3,11,0,11,11,0,90.32659215526655,8.196500511374325,28.004755055066198,7,154.14992703404278,,
django__django-12039,django/django,resolved,final_review,PhaseTimeout,unverified,True,126.0894724400714,124240,4539,128779,1470,89600,10,8,2,0,14,2,8,0,8,8,0,67.71772113768384,7.604769727215171,4.000756176188588,1,,,1
django__django-12125,django/django,resolved,analysis,Submitted,,True,247.52169999107718,182894,7017,189911,2759,146176,30,19,11,0,27,2,18,0,19,19,0,122.24352776445448,15.581835352815688,48.00880992272869,11,241.03331256192178,,
django__django-12125,django/django,resolved,implementation,Submitted,,True,499.11023902287707,672349,28281,700630,19846,579328,45,29,16,0,42,2,28,0,29,29,0,317.36969389626756,24.959640874061733,76.01248036371544,16,491.9869664730504,,
django__django-12125,django/django,resolved,review,Submitted,request_changes,True,309.3549652369693,300274,15929,316203,6008,243968,26,21,5,0,28,3,21,0,21,21,0,226.79902380425483,4.573067099321634,20.004590743221343,5,302.01539776381105,,
django__django-12125,django/django,resolved,revision,Submitted,,True,89.78016376215965,112878,3075,115953,725,79360,8,8,0,0,10,2,7,0,8,8,0,62.11158846644685,0,0,,81.65593857876956,,
django__django-12125,django/django,resolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-12209,django/django,resolved,analysis,Submitted,,True,297.9032213850878,301051,9163,310214,2345,253952,36,27,9,0,37,3,22,0,27,27,0,173.62425981089473,9.640751793049276,44.007755724713206,9,291.4979538661428,,
django__django-12209,django/django,resolved,implementation,Submitted,,True,722.8498879862018,1329997,50401,1380398,38986,1182720,54,38,16,0,48,3,37,0,38,38,0,522.6115775466897,29.381149737164378,76.0118904625997,16,715.7287833360024,,
django__django-12209,django/django,resolved,review,Submitted,unverified,True,140.419766115956,119996,7814,127810,4488,85504,12,12,0,0,15,2,12,0,12,12,0,106.09097344148904,0,0,,134.12374329613522,,
django__django-12209,django/django,resolved,revision,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-12209,django/django,resolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-12273,django/django,resolved,analysis,Submitted,,True,270.2624802789651,162972,5450,168422,1415,132096,33,19,14,0,27,2,18,0,19,19,0,123.52313804486766,13.485928624868393,80.00879917154089,14,263.29940990312025,,
django__django-12273,django/django,resolved,implementation,Submitted,,True,633.714028432034,1004302,27435,1031737,19805,903936,59,41,18,0,54,2,36,0,41,41,0,379.8986629322171,30.29829196073115,96.01590138021857,18,625.8511139340699,,
django__django-12273,django/django,resolved,review,PhaseTimeout,unverified,True,263.10678477585316,207433,6995,214428,2066,165120,27,18,9,0,28,1,18,0,18,18,0,128.4511638120748,19.526417715009302,48.006070270668715,8,,,1
django__django-12273,django/django,resolved,revision,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-12273,django/django,resolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-12325,django/django,unresolved,analysis,Submitted,,True,286.30608929507434,156474,6577,163051,3006,121344,28,19,9,0,25,2,19,0,19,19,0,164.04474323568866,11.942624427378178,56.00616846140474,9,279.10642272187397,,
django__django-12325,django/django,unresolved,implementation,Submitted,,True,398.7635865951888,570646,10671,581317,3889,514816,47,38,9,0,47,2,32,0,38,38,0,224.95518478937447,23.958747279830277,40.00707030342892,7,391.94993814080954,2,
django__django-12325,django/django,unresolved,review,Submitted,unverified,True,321.9075286472216,428247,17087,445334,5747,362496,28,24,4,0,37,3,24,0,24,24,0,216.86875501973554,9.027348164003342,16.002689770888537,4,314.54401339171454,,
django__django-12325,django/django,unresolved,revision,PhaseTimeout,,True,155.59552095504478,222708,7837,230545,1765,170752,12,12,0,0,18,2,12,0,12,12,0,105.43359460681677,0,0,,,,
django__django-12325,django/django,unresolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-12406,django/django,unresolved,analysis,Submitted,,True,302.2883780687116,335342,8566,343908,2836,281344,34,27,7,0,39,2,27,0,27,27,0,174.67426355695352,20.347857396584004,32.00600028363988,7,296.04349905392155,,
django__django-12406,django/django,unresolved,implementation,Submitted,,True,677.5396163063124,1467699,29073,1496772,15761,1343744,63,50,13,0,65,3,46,0,50,50,0,444.21706531150267,26.746608308982104,52.009809678886086,12,670.6976038590074,1,
django__django-12406,django/django,unresolved,review,PhaseTimeout,unverified,True,190.15462391497567,164127,7714,171841,1052,122368,17,15,2,0,19,2,15,0,15,15,0,128.25983380991966,5.973257439211011,4.000649177934974,1,,,1
django__django-12406,django/django,unresolved,revision,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-12406,django/django,unresolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-12663,django/django,resolved,analysis,ReadOnlyViolation,,True,355.05931576760486,402413,13311,415724,7575,343040,38,30,8,0,43,1,29,0,30,30,0,221.2375426357612,6.5804165485315025,36.0063610044308,8,347.27384576015174,,
django__django-12663,django/django,resolved,implementation,Submitted,,True,637.661676296033,1593388,37171,1630559,26028,1467136,57,52,5,0,56,3,46,0,52,52,0,476.9871782637201,26.650645351503044,20.003583509940654,4,629.9953960329294,1,
django__django-12663,django/django,resolved,review,PhaseTimeout,unverified,True,170.3118187719956,155210,7708,162918,2480,116224,16,15,1,0,22,1,15,0,15,15,0,114.52701295679435,3.9446549038402736,0,,,,1
django__django-12663,django/django,resolved,revision,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-12663,django/django,resolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-12708,django/django,resolved,analysis,Submitted,,True,250.9912833669223,308924,10459,319383,4812,251136,24,24,0,0,37,3,23,0,24,24,0,180.20807497994974,0,0,,243.87860086932778,,
django__django-12708,django/django,resolved,implementation,Submitted,,True,293.9056616257876,431804,13489,445293,4577,367872,27,27,0,0,37,2,25,0,27,27,0,217.1563524720259,0,0,,287.08705040905625,,
django__django-12708,django/django,resolved,review,Submitted,unverified,True,240.17834991728887,281531,10178,291709,4041,231680,21,21,0,0,30,2,21,0,21,21,0,164.02141422452405,0,0,,231.13735557114705,,
django__django-12708,django/django,resolved,revision,Submitted,,True,159.8208474367857,218376,9010,227386,3712,169216,13,13,0,0,21,2,13,0,13,13,0,113.68280671164393,0,0,,153.04126007296145,,
django__django-12708,django/django,resolved,final_review,Submitted,unverified,True,159.37376488232985,198674,9232,207906,2146,146944,11,11,0,0,12,5,11,0,11,11,0,123.28514487994835,0,0,,151.97885323362425,,
django__django-12754,django/django,resolved,analysis,Submitted,,True,276.5497820316814,306178,9751,315929,3260,254720,30,23,7,0,33,3,22,0,23,23,0,165.30190792540088,8.198435850907117,44.00517003098503,7,270.32694879034534,,
django__django-12754,django/django,resolved,implementation,Submitted,,True,449.0204061502591,740573,19348,759921,7762,662784,51,39,12,0,50,2,33,0,39,39,0,288.2940061944537,15.891729028429836,48.00844663148746,12,441.8946862560697,,
